(3672218268426, 9069958349825)
(3672218268426, 9069958349825)
(12440214380075, 19413829756369)
(15572428843108, 19413829756369)
(24396986945805, 29009989981082)
(32783805912506, 34889394659117)
(34889394659118, 37852045203256)
(41190120499524, 48710502110828)
(43204303716398, 46879070810322)
(53011962076696, 56344039055008)
(53011962076696, 58576758868523)
(61434917885505, 61908006035935)
(61908006035935, 62767933777530)
(62511033442122, 62882231057991)
(63641646788533, 63945948546021)
(64713316693400, 65189382496202)
(64999889315593, 65189382496202)
(65189382496202, 65740304733466)
(65400483278322, 66283299959280)
(65740304733466, 66283299959280)
(66422129062863, 66711994098586)
(67160465476009, 67649438641309)
(68057027039766, 68454649435444)
(68179610157787, 68454649435444)
(68727093315072, 69054421292865)
(68727093315072, 69401400390266)
(69054421292865, 69216943568303)
(69696292125615, 70040914201079)
(73412860995201, 78319783604609)
(73412860995201, 73412860995201)
(80800364897743, 82410540424990)
(81872566000969, 83813851796454)
(83208072709351, 85336482970086)
(84564501332038, 86342507935742)
(85676500485010, 87494001551296)
(86932924454422, 88726115602910)
(88308683283200, 90314897336701)
(92985559435331, 99083983384255)
(99083983384256, 99083983384256)
(104580961113313, 109652180451852)
(109652180451852, 109652180451852)
(114292754379846, 114292754379846)
(114292754379847, 118122243442587)
(121847024509459, 126345620041267)
(126345620041269, 129628037616258)
(132182495488136, 136864510598769)
(134736737710827, 138821293926430)
(143154545648377, 145980913110898)
(143154545648377, 148152467497972)
(151246265148187, 151690444980057)
(152000130191943, 152486238796869)
(153470274802250, 153891356149723)
(153723748856595, 154247928476913)
(154610263545675, 155018832807006)
(154610263545675, 155018832807006)
(155719620755384, 156378640409574)
(156770859353106, 157228370844559)
(157444284967581, 157743465985657)
(157966143122749, 158625789879543)
(158268094987535, 158625789879543)
(158459878825465, 159131956260867)
(158625789879543, 158943957000511)
(159774306485562, 160419960771595)
(163807315460788, 169629548448978)
(169629548448978, 169629548448978)
(171431709160547, 176780839877720)
(174577844186025, 180222947242739)
(183175626133351, 189172211000972)
(184738598610317, 187210601572675)
(193355047594087, 195991726717559)
(195991726717561, 200347594718591)
(203275761047276, 207893046967514)
(203275761047276, 207893046967514)
(213743501161200, 213743501161200)
(213743501161201, 219471291456959)
(221359789392478, 222960432116258)
(222498723695457, 223722626496659)
(223334527687062, 225118219054282)
(224389325429033, 225956850054114)
(225242642256272, 226838958939168)
(226458176996215, 227998751964573)
(227420995218497, 229137292369316)
(228387323493940, 230123402570745)
(229571449179868, 230955409924473)
(232121351950005, 235682381324439)
(235682381324440, 239428507922589)
(244484473250009, 249824444617715)
(251886663550811, 259311991697339)
(257633973479609, 259311991697339)
(263685821321516, 270464997549766)
(270464997549767, 270464997549767)
(272979306019768, 272979306019768)
(272979306019768, 280055074059068)
(282126028703430, 287392631951184)
(284836416410676, 290905691766532)
(293047529057561, 293047529057561)
(293047529057561, 299710639297794)
(302406550101741, 307193970359994)
(307193970359996, 309957481846034)
(314744608126757, 318669297711175)
(323855611951188, 327225842492665)
(327225842492665, 327225842492665)
(333121507005172, 333121507005172)
(333121507005173, 341135415342898)
(344389995827602, 347299925469181)
(347299925469182, 350731461622425)
(353087698181504, 361406479744402)
(356542431952285, 357218504633271)
(364359970290004, 369109081626630)
(369109081626631, 369109081626631)
(374010991378735, 378095042001312)
(374010991378735, 379580541653265)
(384957836075964, 385057316204755)
(385597213338484, 386130309524989)
(386858817856261, 387699738663307)
(387070084421471, 387699738663307)
(388351876706917, 388578461376678)
(389120143291068, 389327354686290)
(389327354686290, 389941649666180)
(390250299542523, 390843409397977)
(390250299542523, 390501802123222)
(390501802123222, 390843409397977)
(392162789636707, 394167531415509)
(393534536834350, 394918686174827)
(394469512488834, 396279958092492)
(395508284503006, 397494347386228)
(396702787271742, 398555495412596)
(398001413033472, 399528430973758)
(399063478386186, 400626043814074)
(400162615237818, 402020110303086)
(404052468013478, 411059540873663)
(404052468013478, 411059540873663)
(414893276002289, 420734433214551)
(418350619486212, 420734433214551)
(424331863324814, 430824287436457)
(430824287436458, 430824287436458)
(432956413748504, 436351058276903)
(436351058276905, 441549428537929)
(442807002499434, 447467590937981)
(442807002499434, 451270889383530)
(456177793236387, 461879349449355)
(462503261552047, 464039809812541)
(463761550427134, 465101663712718)
(464766089052130, 465995972804612)
(465765531974637, 467339424840641)
(466681105242973, 468035461798180)
(467795551515047, 469145316638624)
(468854880571347, 470178150823398)
(469546011173175, 471346897231698)
(470916081729043, 472406223184007)
(472788183962691, 480272823246663)
(476176387291714, 479287347759176)
(486438625661094, 489174884685392)
(486438625661094, 489174884685392)
(495774309849622, 495774309849622)
(495774309849623, 500237151028475)
(506719917120116, 506719917120116)
(506719917120116, 509378158464998)
(515616143391792, 518765954978806)
(518765954978807, 520809013033287)
(522880293422404, 523179474172233)
(523401105399726, 524032209716334)
(523873015780814, 524032209716334)
(524317721420090, 524645436296520)
(524645436296520, 525444885761624)
(524957458539564, 525444885761624)
(526293793744803, 526800435871324)
(528809160802420, 529163494010802)
(528809160802420, 529739126171581)
(529163494010802, 529436944344583)
(529805857574316, 530354749652142)
(533093622413503, 538889692659981)
(536612716581558, 542001885354658)
(544514849402253, 552132613556960)
(548528649335253, 552132613556960)
(553905700373062, 561794342755365)
(561794342755365, 561794342755365)
